Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.4606E-06,0.011027,-0.0037489,0,0,0,1.239,0.022223,2.0374E-08,-9.7846E-09,0.024872,0.00013466,0.020437,0,0,0,0,0,0,package://morph-bot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://morph-bot/meshes/base_link.STL,,morph-bot.asm-1/morph_bot_body.prt-1;morph-bot.asm-1/electromagnet_small.prt-1;morph-bot.asm-1/electromagnet_small.prt-2;morph-bot.asm-1/electromagnet_small.prt-3;morph-bot.asm-1/electromagnet_small.prt-4;morph-bot.asm-1/battery.prt-1;morph-bot.asm-1/motor.prt-1;morph-bot.asm-1/motor.prt-2;morph-bot.asm-1/shaft.prt-1;morph-bot.asm-1/shaft.prt-2,Origin_right_motor,,right_motor,continuous,-0.031204,0,-0.019431,0.019516,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
left_wheel,0.0031767,6.6028E-08,9.7201E-08,0,0,0,0.20688,7.8842E-05,4.1106E-11,1.3096E-11,4.0023E-05,4.5149E-10,4.0023E-05,0,0,0,0,0,0,package://morph-bot/meshes/left_wheel.STL,0.094118,0.094118,0.094118,1,0,0,0,0,0,0,package://morph-bot/meshes/left_wheel.STL,,morph-bot.asm-1/wheel.prt-1;morph-bot.asm-1/rim.prt-2,Origin_left_motor,,left_motor,continuous,0.031204,0,-0.019431,1.2608,0,0,base_link,0,0,1,,,,,,,,,,,,
right_wheel,0.0031767,6.6225E-08,9.744E-08,0,0,0,0.20688,7.8842E-05,4.0951E-11,1.3204E-11,4.0023E-05,4.515E-10,4.0023E-05,0,0,0,0,0,0,package://morph-bot/meshes/right_wheel.STL,0.094118,0.094118,0.094118,1,0,0,0,0,0,0,package://morph-bot/meshes/right_wheel.STL,,morph-bot.asm-1/wheel.prt-2;morph-bot.asm-1/rim.prt-1,Origin_right_motor,,right_motor,continuous,-0.031204,0,-0.019431,0.019516,0,3.1416,base_link,0,0,-1,,,,,,,,,,,,
